Session;App;From;To;Setting;Done
20010;Images;801;900;Local;1
20020;Images;801;900;Remote;1
20030;Images;901;1000;Local;1
20040;Images;901;1000;Remote;1
20050;Images;1;300;Local;1
20060;Images;1;330;Remote;1
20080;Images;331;800;Remote;1
20070;Images;301;800;Local;1
20110;Images;18;18;Local;1
20120;Images;61;61;Remote;1
20130;Images;647;647;Local;1
20150;Images;695;695;Local;1
;;;;;
10010;Trees;1;200;Local;1
10020;Trees;1;95;Remote;1
10021;Trees;96;200;Remote;1
10022;Trees;190;190;Remote;1
10023;Trees;185;195;Remote;1
10030;Trees;201;300;Local;1
10040;Trees;201;300;Remote;1
10050;Trees;301;500;Local;1
10060;Trees;301;500;Remote;1
10070;Trees;501;550;Local;1
10080;Trees;501;700;Remote;1
10090;Trees;551;700;Local;1
10100;Trees;701;1000;Remote;1
10110;Trees;701;1000;Local;1
;;;;;
30010;Audio;1;101;Local;1
30011;Audio;95;100;Local;1
30020;Audio;1;300;Remote;1
30030;Audio;101;200;Local;1
30050;Audio;201;300;Local;1
30070;Audio;301;500;Local;1
30040;Audio;301;700;Remote;1
30090;Audio;501;700;Local;1
30060;Audio;701;1000;Remote;1
30110;Audio;701;1000;Local;1
