Role;Measured Point;Message Type;LocalIP;LocalIP long;TVM IP;TVM IP long;TVM Port;Host IP;Host IP long;Host Port;Application ID;TSerial;ReplicationID;TSubserial;Sec since 1970;microsec;totalTime;Session ID;Trial ID
1;1;6;-1811896128;192.168.0.148;43690;170.170.0.0;-1;0;0.0.0.0;44421;1543234927;1;0;0;1627253142;24033;61024;78982211;1;
1;2;28;-1811896128;192.168.0.148;0;0.0.0.0;-1;0;0.0.0.0;44421;1543234927;1;0;0;1627253142;61755;61061;78982211;1;
1;3;28;-1811896128;192.168.0.148;0;0.0.0.0;-1;0;0.0.0.0;44421;1543234927;1;0;0;1627253142;62028;61062;78982211;1;
1;4;28;-1811896128;192.168.0.148;0;0.0.0.0;-1;-1811896128;192.168.0.148;44421;1543234927;1;0;0;1627253142;62114;61062;78982211;1;
1;5;28;-1811896128;192.168.0.148;0;0.0.0.0;-1;-1811896128;192.168.0.148;44421;1543234927;1;0;0;1627253142;68776;61068;78982211;1;
1;5;28;-1811896128;192.168.0.148;0;0.0.0.0;-1;-1811896128;192.168.0.148;44421;1543234927;1;0;0;1627253142;68982;61068;78982211;1;
1;6;14;-1811896128;192.168.0.148;0;0.0.0.0;-1;-1811896128;192.168.0.148;44421;1543234927;1;0;0;1627253151;890491;70890;78982211;1;
1;13;13;-1811896128;192.168.0.148;-2013222720;192.168.0.136;-1;-1811896128;192.168.0.148;44421;1543234927;1;0;1;1627253165;703549;84703;78982211;1;
1;14;7;-1811896128;192.168.0.148;-2013222720;192.168.0.136;-1;-1811896128;192.168.0.148;44421;1543234927;1;0;1;1627253165;715358;84715;78982211;1;
1;1;8;-1811896128;192.168.0.148;43690;170.170.0.0;-1;0;0.0.0.0;44421;1543234927;2;0;0;1627253180;421926;99421;78982211;1;
1;2;28;-1811896128;192.168.0.148;0;0.0.0.0;-1;0;0.0.0.0;44421;1543234927;2;0;0;1627253180;443282;99443;78982211;1;
1;3;28;-1811896128;192.168.0.148;0;0.0.0.0;-1;0;0.0.0.0;44421;1543234927;2;0;0;1627253180;443548;99443;78982211;1;
