scenarioId,trailId,simulationId,timeStamp,deviceId,action,meta,eventId,step,error
pj1d,0,tictoc-1f2d4830,2021-09-19T14:50:30.549659006+02:00,simulation,Compress,source,0xfd502ee1,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:50:30.616448224+02:00,simulation,Compress,source,0xfd502ee1,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:31.4109243Z,docker-d1eb66cb,Compile,linux_amd64,0x72e60475,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:37.1453624Z,docker-d1eb66cb,Compile,linux_amd64,0x72e60475,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:37.1719502Z,docker-d1eb66cb,Compress,binary/linux_amd64.tgz,0x1212ceba,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:37.3202264Z,docker-d1eb66cb,Compress,binary/linux_amd64.tgz,0x1212ceba,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:40.6015117Z,docker-d1eb66cb,Compress,results/TicToc18_0.tgz,0xf7f1a4cc,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:40.6522354Z,docker-d1eb66cb,Compress,results/TicToc18_0.tgz,0xf7f1a4cc,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:50:40.843957546+02:00,simulation,Extract,results/TicToc18_0.tgz,0x272ef220,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:50:40.866132307+02:00,simulation,Extract,results/TicToc18_0.tgz,0x272ef220,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:43.1554973Z,docker-d1eb66cb,Compress,results/TicToc18_1.tgz,0x6c7a682c,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:43.2062521Z,docker-d1eb66cb,Compress,results/TicToc18_1.tgz,0x6c7a682c,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:50:43.372064136+02:00,simulation,Extract,results/TicToc18_1.tgz,0xa1a2771a,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:50:43.390105917+02:00,simulation,Extract,results/TicToc18_1.tgz,0xa1a2771a,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:45.6205749Z,docker-d1eb66cb,Compress,results/TicToc18_2.tgz,0x9d6c7b64,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:45.6701443Z,docker-d1eb66cb,Compress,results/TicToc18_2.tgz,0x9d6c7b64,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:50:45.832028997+02:00,simulation,Extract,results/TicToc18_2.tgz,0xba7e3fd4,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:50:45.868603756+02:00,simulation,Extract,results/TicToc18_2.tgz,0xba7e3fd4,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:48.0962777Z,docker-d1eb66cb,Compress,results/TicToc18_3.tgz,0xa101346b,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:48.1438137Z,docker-d1eb66cb,Compress,results/TicToc18_3.tgz,0xa101346b,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:50:48.316096664+02:00,simulation,Extract,results/TicToc18_3.tgz,0x652f3183,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:50:48.340770196+02:00,simulation,Extract,results/TicToc18_3.tgz,0x652f3183,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:50.5963852Z,docker-d1eb66cb,Compress,results/TicToc18_4.tgz,0xf7ca9398,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:50.642153Z,docker-d1eb66cb,Compress,results/TicToc18_4.tgz,0xf7ca9398,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:50:50.814396334+02:00,simulation,Extract,results/TicToc18_4.tgz,0x8bef9f0c,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:50:50.839083882+02:00,simulation,Extract,results/TicToc18_4.tgz,0x8bef9f0c,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:53.1682906Z,docker-d1eb66cb,Compress,results/TicToc18_5.tgz,0x8a857ed6,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:53.2223108Z,docker-d1eb66cb,Compress,results/TicToc18_5.tgz,0x8a857ed6,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:50:53.383962614+02:00,simulation,Extract,results/TicToc18_5.tgz,0x7fca441,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:50:53.415705863+02:00,simulation,Extract,results/TicToc18_5.tgz,0x7fca441,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:55.8955907Z,docker-d1eb66cb,Compress,results/TicToc18_6.tgz,0xbe68cefa,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:55.9452282Z,docker-d1eb66cb,Compress,results/TicToc18_6.tgz,0xbe68cefa,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:50:56.104669642+02:00,simulation,Extract,results/TicToc18_6.tgz,0xe965e934,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:50:56.138734156+02:00,simulation,Extract,results/TicToc18_6.tgz,0xe965e934,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:58.4348066Z,docker-d1eb66cb,Compress,results/TicToc18_7.tgz,0x65d1078d,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:58.4865557Z,docker-d1eb66cb,Compress,results/TicToc18_7.tgz,0x65d1078d,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:50:58.642499673+02:00,simulation,Extract,results/TicToc18_7.tgz,0x7777ca8f,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:50:58.667265718+02:00,simulation,Extract,results/TicToc18_7.tgz,0x7777ca8f,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:51:00.9120288Z,docker-d1eb66cb,Compress,results/TicToc18_8.tgz,0xf7ae7885,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:51:00.9615586Z,docker-d1eb66cb,Compress,results/TicToc18_8.tgz,0xf7ae7885,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:51:01.153027149+02:00,simulation,Extract,results/TicToc18_8.tgz,0x72b48c7d,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:51:01.187506686+02:00,simulation,Extract,results/TicToc18_8.tgz,0x72b48c7d,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:51:03.5385109Z,docker-d1eb66cb,Compress,results/TicToc18_9.tgz,0x45257afa,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:51:03.5883699Z,docker-d1eb66cb,Compress,results/TicToc18_9.tgz,0x45257afa,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:51:03.769743485+02:00,simulation,Extract,results/TicToc18_9.tgz,0x51970da7,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:51:03.791290888+02:00,simulation,Extract,results/TicToc18_9.tgz,0x51970da7,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:51:06.0622704Z,docker-d1eb66cb,Compress,results/TicToc18_10.tgz,0x97c7c231,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:51:06.1132511Z,docker-d1eb66cb,Compress,results/TicToc18_10.tgz,0x97c7c231,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:51:06.298584615+02:00,simulation,Extract,results/TicToc18_10.tgz,0x9aa0185,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:51:06.334554858+02:00,simulation,Extract,results/TicToc18_10.tgz,0x9aa0185,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:51:08.5076598Z,docker-d1eb66cb,Compress,results/TicToc18_11.tgz,0xfc269c6a,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:51:08.5580098Z,docker-d1eb66cb,Compress,results/TicToc18_11.tgz,0xfc269c6a,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:51:08.738197979+02:00,simulation,Extract,results/TicToc18_11.tgz,0x886fce32,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:51:08.75987677+02:00,simulation,Extract,results/TicToc18_11.tgz,0x886fce32,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:51:11.0023833Z,docker-d1eb66cb,Compress,results/TicToc18_12.tgz,0x7199e532,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:51:11.0492493Z,docker-d1eb66cb,Compress,results/TicToc18_12.tgz,0x7199e532,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:51:11.234855246+02:00,simulation,Extract,results/TicToc18_12.tgz,0x247d5787,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:51:11.256559795+02:00,simulation,Extract,results/TicToc18_12.tgz,0x247d5787,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:51:13.4496697Z,docker-d1eb66cb,Compress,results/TicToc18_13.tgz,0xb13b62cc,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:51:13.4977997Z,docker-d1eb66cb,Compress,results/TicToc18_13.tgz,0xb13b62cc,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:51:13.672678334+02:00,simulation,Extract,results/TicToc18_13.tgz,0x8f1a5e73,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:51:13.695857548+02:00,simulation,Extract,results/TicToc18_13.tgz,0x8f1a5e73,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:51:16.1440438Z,docker-d1eb66cb,Compress,results/TicToc18_14.tgz,0xc96d0729,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:51:16.1993313Z,docker-d1eb66cb,Compress,results/TicToc18_14.tgz,0xc96d0729,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:51:16.356954929+02:00,simulation,Extract,results/TicToc18_14.tgz,0xdc770f2,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:51:16.380934795+02:00,simulation,Extract,results/TicToc18_14.tgz,0xdc770f2,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:51:18.6642863Z,docker-d1eb66cb,Compress,results/TicToc18_15.tgz,0xce2dc98,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:51:18.7098438Z,docker-d1eb66cb,Compress,results/TicToc18_15.tgz,0xce2dc98,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T14:51:18.865156644+02:00,simulation,Extract,results/TicToc18_15.tgz,0xeaf735c4,1,
