scenarioId,trailId,duration
pj1d,0,3m25.905210145s
pj1d,1,3m21.723128961s
pj1d,2,3m23.656853137s
pj1d,3,3m21.565876228s
pj1d,4,3m23.893968037s
pj2d,0,1m47.468928201s
pj2d,1,1m46.15689719s
pj2d,2,1m44.949973399s
pj2d,3,1m45.108295329s
pj2d,4,1m43.194726945s
pj4d,0,59.202834995s
pj4d,1,1m0.893761925s
pj4d,2,1m3.824646497s
pj4d,3,1m8.800741135s
pj4d,4,1m6.184897233s
pj6d,0,57.316651898s
pj6d,1,55.643548632s
pj6d,2,57.563353541s
pj8d,0,1m8.852640134s
pj8d,1,1m10.223425473s
rj1d,0,3m23.890501182s
rj1d,1,3m18.26110471s
rj1d,2,3m25.018501051s
rj1d,3,3m22.866927646s
rj1d,4,3m20.527464538s
rj2d,0,1m57.288890195s
rj2d,1,1m58.25210407s
rj2d,2,1m55.666428437s
rj2d,3,2m0.476172702s
rj2d,4,1m55.669719327s
rj4d,0,1m2.849687658s
rj4d,1,1m6.036544275s
rj4d,2,1m10.112550949s
rj4d,3,1m10.063706071s
rj4d,4,1m5.465243269s
rj6d,0,1m1.75202097s
