scenarioId,trailId,simulationId,timeStamp,providerId,eventId,step,runConfig,runNumber,error
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:37.9766846Z,docker-d1eb66cb,0xcbb0d4e6,1,TicToc18,0,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:40.5764494Z,docker-d1eb66cb,0xcbb0d4e6,2,TicToc18,0,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:40.7419694Z,docker-d1eb66cb,0xc9dd0cf4,1,TicToc18,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:43.1256742Z,docker-d1eb66cb,0xc9dd0cf4,2,TicToc18,1,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:43.2890298Z,docker-d1eb66cb,0xecc2a78a,1,TicToc18,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:45.5956096Z,docker-d1eb66cb,0xecc2a78a,2,TicToc18,2,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:45.7479254Z,docker-d1eb66cb,0x1bce8bfe,1,TicToc18,3,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:48.0719238Z,docker-d1eb66cb,0x1bce8bfe,2,TicToc18,3,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:48.2377772Z,docker-d1eb66cb,0xe38a4e75,1,TicToc18,4,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:50.5714635Z,docker-d1eb66cb,0xe38a4e75,2,TicToc18,4,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:50.7238148Z,docker-d1eb66cb,0x5ded1eef,1,TicToc18,5,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:53.1414014Z,docker-d1eb66cb,0x5ded1eef,2,TicToc18,5,
pj1d,0,tictoc-1f2d4830,2021-09-19T12:50:53.3063634Z,docker-d1eb66cb,0x7ea97d9a,1,TicToc18,6,
