scenarioId,trailId,simulationId,timeStamp,providerId,connect,numCPUs,arch,os
pj1d,0,tictoc-1f2d4830,2021-09-19T14:50:30.949548636+02:00,docker-d1eb66cb,P2P,8,amd64,linux
pj1d,1,tictoc-8a59c58c,2021-09-19T14:53:59.041212894+02:00,docker-d1eb66cb,P2P,8,amd64,linux
pj1d,2,tictoc-f7b31077,2021-09-19T14:57:22.676320371+02:00,docker-d1eb66cb,P2P,8,amd64,linux
pj1d,3,tictoc-30e191ce,2021-09-19T15:00:48.644285926+02:00,docker-d1eb66cb,P2P,8,amd64,linux
pj1d,4,tictoc-e17e12f3,2021-09-19T15:04:11.998632693+02:00,docker-d1eb66cb,P2P,8,amd64,linux
pj2d,0,tictoc-fccdfcaf,2021-09-19T15:26:20.020287873+02:00,docker-7ed3f6a6,P2P,8,amd64,linux
pj2d,1,tictoc-942ff862,2021-09-19T15:28:09.57446416+02:00,docker-7ed3f6a6,P2P,8,amd64,linux
pj2d,2,tictoc-5be351b2,2021-09-19T15:29:57.79869409+02:00,docker-7ed3f6a6,P2P,8,amd64,linux
pj2d,3,tictoc-57410930,2021-09-19T15:31:44.676270825+02:00,docker-7ed3f6a6,P2P,8,amd64,linux
pj2d,4,tictoc-8a04774c,2021-09-19T15:33:32.15616418+02:00,docker-7ed3f6a6,P2P,8,amd64,linux
pj4d,0,tictoc-bd9f8216,2021-09-19T16:37:08.549740463+02:00,docker-b107085d,P2P,8,amd64,linux
pj4d,1,tictoc-01a82dc9,2021-09-19T16:38:09.796243511+02:00,docker-b107085d,P2P,8,amd64,linux
pj4d,2,tictoc-948e9c5b,2021-09-19T16:39:12.433124659+02:00,docker-b107085d,P2P,8,amd64,linux
pj4d,3,tictoc-3a20f440,2021-09-19T16:40:18.493795441+02:00,docker-b107085d,P2P,8,amd64,linux
pj4d,4,tictoc-d74176d2,2021-09-19T16:41:29.419813971+02:00,docker-b107085d,P2P,8,amd64,linux
pj6d,0,tictoc-515614ee,2021-09-19T17:18:45.658701746+02:00,docker-75ba61b7,P2P,8,amd64,linux
pj6d,1,tictoc-1547cfad,2021-09-19T17:19:45.055097337+02:00,docker-75ba61b7,P2P,8,amd64,linux
pj6d,2,tictoc-c606f740,2021-09-19T17:20:43.137000363+02:00,docker-75ba61b7,P2P,8,amd64,linux
pj6d,3,tictoc-3d81bec7,2021-09-19T16:53:50.854682431+02:00,docker-be38c6a7,P2P,8,amd64,linux
pj6d,4,tictoc-4d6441c9,2021-09-19T16:55:05.303134407+02:00,docker-be38c6a7,P2P,8,amd64,linux
pj8d,0,tictoc-b9432101,2021-09-19T17:10:40.511676722+02:00,docker-fb8453ad,P2P,8,amd64,linux
pj8d,1,tictoc-4fb9cfc0,2021-09-19T17:11:51.425935068+02:00,docker-fb8453ad,P2P,8,amd64,linux
rj1d,0,tictoc-fab5796b,2021-09-19T15:07:41.256541258+02:00,docker-a23e0ef1,Relay,8,amd64,linux
rj1d,1,tictoc-4f48adc9,2021-09-19T15:11:07.179291515+02:00,docker-a23e0ef1,Relay,8,amd64,linux
rj1d,2,tictoc-8c7ff776,2021-09-19T15:14:27.500101288+02:00,docker-a23e0ef1,Relay,8,amd64,linux
rj1d,3,tictoc-5e3998c1,2021-09-19T15:17:54.534283681+02:00,docker-a23e0ef1,Relay,8,amd64,linux
rj1d,4,tictoc-d9744721,2021-09-19T15:21:19.425384184+02:00,docker-a23e0ef1,Relay,8,amd64,linux
rj2d,0,tictoc-f040116e,2021-09-19T15:35:20.444947553+02:00,docker-d4130215,Relay,8,amd64,linux
rj2d,1,tictoc-70f969e8,2021-09-19T15:37:19.784420018+02:00,docker-d4130215,Relay,8,amd64,linux
rj2d,2,tictoc-46ff0d88,2021-09-19T15:39:20.110539777+02:00,docker-d4130215,Relay,8,amd64,linux
rj2d,3,tictoc-4af587d5,2021-09-19T15:41:17.772769678+02:00,docker-d4130215,Relay,8,amd64,linux
rj2d,4,tictoc-7e18e1d8,2021-09-19T15:43:20.357027764+02:00,docker-d4130215,Relay,8,amd64,linux
rj4d,0,tictoc-8d3c1fba,2021-09-19T16:42:41.010328781+02:00,docker-0bd2eecf,Relay,8,amd64,linux
rj4d,1,tictoc-5434286c,2021-09-19T16:43:45.855887144+02:00,docker-0bd2eecf,Relay,8,amd64,linux
rj4d,2,tictoc-16b1042f,2021-09-19T16:44:53.967691675+02:00,docker-0bd2eecf,Relay,8,amd64,linux
rj4d,3,tictoc-4949b034,2021-09-19T16:46:06.091794014+02:00,docker-0bd2eecf,Relay,8,amd64,linux
rj4d,4,tictoc-169547b3,2021-09-19T16:47:18.210752652+02:00,docker-0bd2eecf,Relay,8,amd64,linux
rj6d,0,tictoc-82dbed01,2021-09-19T17:17:19.669910694+02:00,docker-3b0168df,Relay,8,amd64,linux
rj6d,1,tictoc-8c1c60fb,2021-09-19T16:57:32.498969838+02:00,docker-c03d9d6c,Relay,8,amd64,linux
rj6d,2,tictoc-f54bb2c7,2021-09-19T16:58:50.470534982+02:00,docker-c03d9d6c,Relay,8,amd64,linux
rj6d,3,tictoc-1db5f47a,2021-09-19T17:00:00.644528482+02:00,docker-c03d9d6c,Relay,8,amd64,linux
rj6d,4,tictoc-54d57300,2021-09-19T17:01:08.643186791+02:00,docker-c03d9d6c,Relay,8,amd64,linux
