scenarioId,trailId,simulationId,timeStamp,deviceId,action,meta,eventId,step,error
s4r,2,tictoc-275329d7,2021-09-17T16:27:21.501130326+02:00,consumer,Compress,source,0xcbd0e5b4,1,
s4r,2,tictoc-275329d7,2021-09-17T16:27:21.579875131+02:00,consumer,Compress,source,0xcbd0e5b4,2,
s4r,2,tictoc-275329d7,2021-09-17T16:27:22.842674+02:00,patricks-mbp-e88c9cf4,Compile,darwin_amd64,0x8f55b32b,1,
s4r,2,tictoc-275329d7,2021-09-17T16:27:29.737397+02:00,patricks-mbp-e88c9cf4,Compile,darwin_amd64,0x8f55b32b,2,
s4r,2,tictoc-275329d7,2021-09-17T16:27:29.763183+02:00,patricks-mbp-e88c9cf4,Compress,binary/darwin_amd64.tgz,0x5bf802f7,1,
s4r,2,tictoc-275329d7,2021-09-17T16:27:29.859177+02:00,patricks-mbp-e88c9cf4,Compress,binary/darwin_amd64.tgz,0x5bf802f7,2,
s4r,2,tictoc-275329d7,2021-09-17T16:27:33.725804+02:00,patricks-mbp-e88c9cf4,Compress,results/TicToc18_2.tgz,0xdbe89d05,1,
s4r,2,tictoc-275329d7,2021-09-17T16:27:33.725876+02:00,patricks-mbp-e88c9cf4,Compress,results/TicToc18_3.tgz,0x56d7b970,1,
s4r,2,tictoc-275329d7,2021-09-17T16:27:33.758317+02:00,patricks-mbp-e88c9cf4,Compress,results/TicToc18_4.tgz,0x4919989b,1,
s4r,2,tictoc-275329d7,2021-09-17T16:27:33.765487+02:00,patricks-mbp-e88c9cf4,Compress,results/TicToc18_5.tgz,0xfd04e432,1,
s4r,2,tictoc-275329d7,2021-09-17T16:27:33.775052+02:00,patricks-mbp-e88c9cf4,Compress,results/TicToc18_2.tgz,0xdbe89d05,2,
s4r,2,tictoc-275329d7,2021-09-17T16:27:33.774614+02:00,patricks-mbp-e88c9cf4,Compress,results/TicToc18_1.tgz,0x4b6b35a3,1,
s4r,2,tictoc-275329d7,2021-09-17T16:27:33.774747+02:00,patricks-mbp-e88c9cf4,Compress,results/TicToc18_3.tgz,0x56d7b970,2,
s4r,2,tictoc-275329d7,2021-09-17T16:27:33.798923+02:00,patricks-mbp-e88c9cf4,Compress,results/TicToc18_4.tgz,0x4919989b,2,
