scenarioId,trailId,simulationId,timeStamp,deviceId,action,meta,eventId,step,error
s5p,2,tictoc-71a97eaa,2021-09-17T12:15:56.781588936+02:00,consumer,Compress,source,0x1a4dc27a,1,
s5p,2,tictoc-71a97eaa,2021-09-17T12:15:56.855879126+02:00,consumer,Compress,source,0x1a4dc27a,2,
s5p,2,tictoc-71a97eaa,2021-09-17T12:15:58.051404+02:00,patricks-mbp-73b9546e,Compile,darwin_amd64,0x9b8bb467,1,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:04.487598+02:00,patricks-mbp-73b9546e,Compile,darwin_amd64,0x9b8bb467,2,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:04.657586+02:00,patricks-mbp-73b9546e,Compress,binary/darwin_amd64.tgz,0x41ea07b9,1,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:04.748071+02:00,patricks-mbp-73b9546e,Compress,binary/darwin_amd64.tgz,0x41ea07b9,2,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.48111+02:00,patricks-mbp-73b9546e,Compress,results/TicToc18_6.tgz,0xdfde4b43,1,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.493044+02:00,patricks-mbp-73b9546e,Compress,results/TicToc18_0.tgz,0x1c217376,1,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.512006+02:00,patricks-mbp-73b9546e,Compress,results/TicToc18_2.tgz,0xe86c9830,1,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.518638+02:00,patricks-mbp-73b9546e,Compress,results/TicToc18_1.tgz,0x96b7758f,1,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.534149+02:00,patricks-mbp-73b9546e,Compress,results/TicToc18_6.tgz,0xdfde4b43,2,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.536337+02:00,patricks-mbp-73b9546e,Compress,results/TicToc18_4.tgz,0x42bb22c6,1,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.536392+02:00,patricks-mbp-73b9546e,Compress,results/TicToc18_5.tgz,0xfd513ea7,1,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.536342+02:00,patricks-mbp-73b9546e,Compress,results/TicToc18_7.tgz,0x90aa98c9,1,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.554845+02:00,patricks-mbp-73b9546e,Compress,results/TicToc18_0.tgz,0x1c217376,2,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.557078+02:00,patricks-mbp-73b9546e,Compress,results/TicToc18_2.tgz,0xe86c9830,2,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.569422+02:00,patricks-mbp-73b9546e,Compress,results/TicToc18_3.tgz,0xe293a899,1,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.582853+02:00,patricks-mbp-73b9546e,Compress,results/TicToc18_1.tgz,0x96b7758f,2,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.638468+02:00,patricks-mbp-73b9546e,Compress,results/TicToc18_4.tgz,0x42bb22c6,2,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.638133+02:00,patricks-mbp-73b9546e,Compress,results/TicToc18_5.tgz,0xfd513ea7,2,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.64084+02:00,patricks-mbp-73b9546e,Compress,results/TicToc18_3.tgz,0xe293a899,2,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.639165+02:00,patricks-mbp-73b9546e,Compress,results/TicToc18_7.tgz,0x90aa98c9,2,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.673473391+02:00,consumer,Extract,results/TicToc18_6.tgz,0xbb0319b3,1,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.699236957+02:00,consumer,Extract,results/TicToc18_6.tgz,0xbb0319b3,2,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.822635649+02:00,consumer,Extract,results/TicToc18_2.tgz,0xf79c22b5,1,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.849342595+02:00,consumer,Extract,results/TicToc18_2.tgz,0xf79c22b5,2,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:09.977982422+02:00,consumer,Extract,results/TicToc18_0.tgz,0x6e2ae4e1,1,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:10.004762506+02:00,consumer,Extract,results/TicToc18_0.tgz,0x6e2ae4e1,2,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:10.143292189+02:00,consumer,Extract,results/TicToc18_1.tgz,0xad85746f,1,
s5p,2,tictoc-71a97eaa,2021-09-17T12:16:10.166873429+02:00,consumer,Extract,results/TicToc18_1.tgz,0xad85746f,2,
