scenarioId,trailId,simulationId,timeStamp,providerId,eventId,step,runConfig,runNumber,error
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:15.435247+02:00,patricks-mbp-13bae176,0x93a65cce,1,TicToc18,0,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:17.776756+02:00,patricks-mbp-13bae176,0x93a65cce,2,TicToc18,0,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:18.028056+02:00,patricks-mbp-13bae176,0x121fca3c,1,TicToc18,1,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:20.581801+02:00,patricks-mbp-13bae176,0x121fca3c,2,TicToc18,1,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:20.804018+02:00,patricks-mbp-13bae176,0x73df1b5b,1,TicToc18,2,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:23.129006+02:00,patricks-mbp-13bae176,0x73df1b5b,2,TicToc18,2,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:23.309117+02:00,patricks-mbp-13bae176,0xba06da48,1,TicToc18,3,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:25.487279+02:00,patricks-mbp-13bae176,0xba06da48,2,TicToc18,3,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:25.656717+02:00,patricks-mbp-13bae176,0xc7bfabf3,1,TicToc18,4,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:27.625774+02:00,patricks-mbp-13bae176,0xc7bfabf3,2,TicToc18,4,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:27.801201+02:00,patricks-mbp-13bae176,0x7e517d86,1,TicToc18,5,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:29.721327+02:00,patricks-mbp-13bae176,0x7e517d86,2,TicToc18,5,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:29.893185+02:00,patricks-mbp-13bae176,0x3b8a87d4,1,TicToc18,6,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:32.026939+02:00,patricks-mbp-13bae176,0x3b8a87d4,2,TicToc18,6,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:32.267684+02:00,patricks-mbp-13bae176,0xf1e160ec,1,TicToc18,7,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:34.371914+02:00,patricks-mbp-13bae176,0xf1e160ec,2,TicToc18,7,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:34.562436+02:00,patricks-mbp-13bae176,0x919013e8,1,TicToc18,8,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:36.673472+02:00,patricks-mbp-13bae176,0x919013e8,2,TicToc18,8,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:36.841306+02:00,patricks-mbp-13bae176,0x40a9e8d6,1,TicToc18,9,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:38.884571+02:00,patricks-mbp-13bae176,0x40a9e8d6,2,TicToc18,9,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:39.080607+02:00,patricks-mbp-13bae176,0xa1615289,1,TicToc18,10,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:41.407722+02:00,patricks-mbp-13bae176,0xa1615289,2,TicToc18,10,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:41.573022+02:00,patricks-mbp-13bae176,0x4f23be37,1,TicToc18,11,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:44.052103+02:00,patricks-mbp-13bae176,0x4f23be37,2,TicToc18,11,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:44.228755+02:00,patricks-mbp-13bae176,0x971a9fd7,1,TicToc18,12,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:46.325002+02:00,patricks-mbp-13bae176,0x971a9fd7,2,TicToc18,12,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:46.515828+02:00,patricks-mbp-13bae176,0x77cb0f83,1,TicToc18,13,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:48.587513+02:00,patricks-mbp-13bae176,0x77cb0f83,2,TicToc18,13,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:48.748718+02:00,patricks-mbp-13bae176,0x503369b6,1,TicToc18,14,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:50.717259+02:00,patricks-mbp-13bae176,0x503369b6,2,TicToc18,14,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:50.883412+02:00,patricks-mbp-13bae176,0x2ba4466a,1,TicToc18,15,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:52.847135+02:00,patricks-mbp-13bae176,0x2ba4466a,2,TicToc18,15,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:53.023176+02:00,patricks-mbp-13bae176,0x1bb2c510,1,TicToc18,16,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:54.867835+02:00,patricks-mbp-13bae176,0x1bb2c510,2,TicToc18,16,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:55.046249+02:00,patricks-mbp-13bae176,0x358ebb40,1,TicToc18,17,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:57.096676+02:00,patricks-mbp-13bae176,0x358ebb40,2,TicToc18,17,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:57.277419+02:00,patricks-mbp-13bae176,0x730cb5dd,1,TicToc18,18,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:59.365543+02:00,patricks-mbp-13bae176,0x730cb5dd,2,TicToc18,18,
s1r,2,tictoc-8587bbe0,2021-09-17T16:00:59.540595+02:00,patricks-mbp-13bae176,0xc603e9c6,1,TicToc18,19,
s1r,2,tictoc-8587bbe0,2021-09-17T16:01:01.74645+02:00,patricks-mbp-13bae176,0xc603e9c6,2,TicToc18,19,
s1r,2,tictoc-8587bbe0,2021-09-17T16:01:01.924755+02:00,patricks-mbp-13bae176,0xf27241da,1,TicToc18,20,
s1r,2,tictoc-8587bbe0,2021-09-17T16:01:04.006801+02:00,patricks-mbp-13bae176,0xf27241da,2,TicToc18,20,
s1r,2,tictoc-8587bbe0,2021-09-17T16:01:04.167967+02:00,patricks-mbp-13bae176,0xcd606fe8,1,TicToc18,21,
s1r,2,tictoc-8587bbe0,2021-09-17T16:01:06.1244+02:00,patricks-mbp-13bae176,0xcd606fe8,2,TicToc18,21,
