scenarioId,trailId,simulationId,timeStamp,providerId,eventId,step,runConfig,runNumber,error
s3p,2,tictoc-769af9f6,2021-09-17T12:08:33.675487+02:00,patricks-mbp-a0075c1a,0x55a83a3a,1,TicToc18,1,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:33.67541+02:00,patricks-mbp-a0075c1a,0xb38b6825,1,TicToc18,0,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:33.676305+02:00,patricks-mbp-a0075c1a,0x6023c6b1,1,TicToc18,2,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:33.67566+02:00,patricks-mbp-a0075c1a,0x59b2b8e1,1,TicToc18,3,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:35.717672+02:00,patricks-mbp-a0075c1a,0x55a83a3a,2,TicToc18,1,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:35.717557+02:00,patricks-mbp-a0075c1a,0xb38b6825,2,TicToc18,0,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:35.720465+02:00,patricks-mbp-a0075c1a,0x59b2b8e1,2,TicToc18,3,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:35.746066+02:00,patricks-mbp-a0075c1a,0x6023c6b1,2,TicToc18,2,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:35.896509+02:00,patricks-mbp-a0075c1a,0xad223db3,1,TicToc18,4,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:35.898336+02:00,patricks-mbp-a0075c1a,0x9d4024ed,1,TicToc18,5,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:35.903679+02:00,patricks-mbp-a0075c1a,0x9c12772,1,TicToc18,6,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:35.909387+02:00,patricks-mbp-a0075c1a,0xcd9bc4bd,1,TicToc18,7,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:37.970751+02:00,patricks-mbp-a0075c1a,0xad223db3,2,TicToc18,4,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:37.997678+02:00,patricks-mbp-a0075c1a,0x9d4024ed,2,TicToc18,5,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:38.003754+02:00,patricks-mbp-a0075c1a,0x9c12772,2,TicToc18,6,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:38.032333+02:00,patricks-mbp-a0075c1a,0xcd9bc4bd,2,TicToc18,7,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:38.138406+02:00,patricks-mbp-a0075c1a,0x663ac1d3,1,TicToc18,8,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:38.157726+02:00,patricks-mbp-a0075c1a,0x3ecaf190,1,TicToc18,9,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:38.176409+02:00,patricks-mbp-a0075c1a,0x695e36bf,1,TicToc18,10,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:38.21052+02:00,patricks-mbp-a0075c1a,0x7df3cfc7,1,TicToc18,11,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:40.244447+02:00,patricks-mbp-a0075c1a,0x3ecaf190,2,TicToc18,9,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:40.282778+02:00,patricks-mbp-a0075c1a,0x695e36bf,2,TicToc18,10,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:40.27881+02:00,patricks-mbp-a0075c1a,0x663ac1d3,2,TicToc18,8,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:40.29173+02:00,patricks-mbp-a0075c1a,0x7df3cfc7,2,TicToc18,11,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:40.412792+02:00,patricks-mbp-a0075c1a,0x315d81c6,1,TicToc18,12,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:40.459416+02:00,patricks-mbp-a0075c1a,0x6d28ad0b,1,TicToc18,13,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:40.460729+02:00,patricks-mbp-a0075c1a,0xbdbb8a6c,1,TicToc18,15,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:40.460827+02:00,patricks-mbp-a0075c1a,0xfc2f3d36,1,TicToc18,14,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:42.536856+02:00,patricks-mbp-a0075c1a,0x6d28ad0b,2,TicToc18,13,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:42.513257+02:00,patricks-mbp-a0075c1a,0x315d81c6,2,TicToc18,12,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:42.535212+02:00,patricks-mbp-a0075c1a,0xfc2f3d36,2,TicToc18,14,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:42.530113+02:00,patricks-mbp-a0075c1a,0xbdbb8a6c,2,TicToc18,15,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:42.723304+02:00,patricks-mbp-a0075c1a,0xaa3e3e94,1,TicToc18,16,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:42.729605+02:00,patricks-mbp-a0075c1a,0xf0b21d67,1,TicToc18,18,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:42.729776+02:00,patricks-mbp-a0075c1a,0x35e297d8,1,TicToc18,17,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:42.737781+02:00,patricks-mbp-a0075c1a,0x1e34d564,1,TicToc18,19,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:44.826695+02:00,patricks-mbp-a0075c1a,0xf0b21d67,2,TicToc18,18,
s3p,2,tictoc-769af9f6,2021-09-17T12:08:44.840467+02:00,patricks-mbp-a0075c1a,0xaa3e3e94,2,TicToc18,16,
