scenarioId,trailId,simulationId,timeStamp,providerId,eventId,step,direction,file,transferred,error
s2p,2,tictoc-9aa4ca4a,2021-09-17T12:04:19.506017882+02:00,patricks-mbp-98d0717f,0xdcb085d4,1,Upload,source.tgz,0,
s2p,2,tictoc-9aa4ca4a,2021-09-17T12:04:19.882860195+02:00,patricks-mbp-98d0717f,0xdcb085d4,2,Upload,source.tgz,503395,
s2p,2,tictoc-9aa4ca4a,2021-09-17T12:04:26.953148812+02:00,patricks-mbp-98d0717f,0x7c68c4ea,1,Download,binary/darwin_amd64.tgz,0,
s2p,2,tictoc-9aa4ca4a,2021-09-17T12:04:27.262918655+02:00,patricks-mbp-98d0717f,0x7c68c4ea,2,Download,binary/darwin_amd64.tgz,357968,
s2p,2,tictoc-9aa4ca4a,2021-09-17T12:04:29.931854097+02:00,patricks-mbp-98d0717f,0xc058e606,1,Download,results/TicToc18_0.tgz,0,
s2p,2,tictoc-9aa4ca4a,2021-09-17T12:04:30.131033761+02:00,patricks-mbp-98d0717f,0xc058e606,2,Download,results/TicToc18_0.tgz,32486,
s2p,2,tictoc-9aa4ca4a,2021-09-17T12:04:30.452391421+02:00,patricks-mbp-98d0717f,0x55733001,1,Download,results/TicToc18_1.tgz,0,
s2p,2,tictoc-9aa4ca4a,2021-09-17T12:04:31.013478387+02:00,patricks-mbp-98d0717f,0x55733001,2,Download,results/TicToc18_1.tgz,32661,
s2p,2,tictoc-9aa4ca4a,2021-09-17T12:04:33.504424494+02:00,patricks-mbp-98d0717f,0xe9e68c75,1,Download,results/TicToc18_3.tgz,0,
s2p,2,tictoc-9aa4ca4a,2021-09-17T12:04:33.583650129+02:00,patricks-mbp-98d0717f,0xe9e68c75,2,Download,results/TicToc18_3.tgz,31643,
s2p,2,tictoc-9aa4ca4a,2021-09-17T12:04:33.678059584+02:00,patricks-mbp-98d0717f,0xb5391c6c,1,Download,results/TicToc18_2.tgz,0,
s2p,2,tictoc-9aa4ca4a,2021-09-17T12:04:33.749338779+02:00,patricks-mbp-98d0717f,0xb5391c6c,2,Download,results/TicToc18_2.tgz,32724,
s2p,2,tictoc-9aa4ca4a,2021-09-17T12:04:35.613583332+02:00,patricks-mbp-98d0717f,0x3ead5c0,1,Download,results/TicToc18_5.tgz,0,
s2p,2,tictoc-9aa4ca4a,2021-09-17T12:04:35.677914741+02:00,patricks-mbp-98d0717f,0x3ead5c0,2,Download,results/TicToc18_5.tgz,32388,
s2p,2,tictoc-9aa4ca4a,2021-09-17T12:04:35.773337418+02:00,patricks-mbp-98d0717f,0xe3b2f58b,1,Download,results/TicToc18_4.tgz,0,
