scenarioId,trailId,simulationId,timeStamp,providerId,eventId,step,direction,file,transferred,error
s2r,0,tictoc-a3daa2a9,2021-09-17T16:16:41.983937589+02:00,patricks-mbp-d2c48b7c,0xafdc4b24,1,Upload,source.tgz,0,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:16:42.253173876+02:00,patricks-mbp-d2c48b7c,0xafdc4b24,2,Upload,source.tgz,506846,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:16:49.296030878+02:00,patricks-mbp-d2c48b7c,0x7aabcc6c,1,Download,binary/darwin_amd64.tgz,0,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:16:49.616691009+02:00,patricks-mbp-d2c48b7c,0x7aabcc6c,2,Download,binary/darwin_amd64.tgz,352575,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:16:52.046879058+02:00,patricks-mbp-d2c48b7c,0x2b7aa89,1,Download,results/TicToc18_1.tgz,0,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:16:52.132167712+02:00,patricks-mbp-d2c48b7c,0x2b7aa89,2,Download,results/TicToc18_1.tgz,33745,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:16:52.245642402+02:00,patricks-mbp-d2c48b7c,0x69c49347,1,Download,results/TicToc18_0.tgz,0,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:16:52.330442734+02:00,patricks-mbp-d2c48b7c,0x69c49347,2,Download,results/TicToc18_0.tgz,32017,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:16:54.157515204+02:00,patricks-mbp-d2c48b7c,0xa272c9a2,1,Download,results/TicToc18_2.tgz,0,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:16:54.24366362+02:00,patricks-mbp-d2c48b7c,0xa272c9a2,2,Download,results/TicToc18_2.tgz,32125,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:16:54.356671238+02:00,patricks-mbp-d2c48b7c,0xb6f8b27d,1,Download,results/TicToc18_3.tgz,0,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:16:54.434017618+02:00,patricks-mbp-d2c48b7c,0xb6f8b27d,2,Download,results/TicToc18_3.tgz,31054,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:16:56.29369025+02:00,patricks-mbp-d2c48b7c,0xd410ffa2,1,Download,results/TicToc18_5.tgz,0,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:16:56.375959137+02:00,patricks-mbp-d2c48b7c,0xd410ffa2,2,Download,results/TicToc18_5.tgz,32160,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:16:56.482829235+02:00,patricks-mbp-d2c48b7c,0xffbe0301,1,Download,results/TicToc18_4.tgz,0,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:16:56.57396487+02:00,patricks-mbp-d2c48b7c,0xffbe0301,2,Download,results/TicToc18_4.tgz,31607,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:16:58.423467402+02:00,patricks-mbp-d2c48b7c,0x227ed6c9,1,Download,results/TicToc18_7.tgz,0,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:16:58.549062477+02:00,patricks-mbp-d2c48b7c,0x227ed6c9,2,Download,results/TicToc18_7.tgz,30628,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:16:58.657692367+02:00,patricks-mbp-d2c48b7c,0x2d3bb31a,1,Download,results/TicToc18_6.tgz,0,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:16:58.772545847+02:00,patricks-mbp-d2c48b7c,0x2d3bb31a,2,Download,results/TicToc18_6.tgz,31429,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:17:00.639819415+02:00,patricks-mbp-d2c48b7c,0x245f2cf1,1,Download,results/TicToc18_9.tgz,0,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:17:00.719971186+02:00,patricks-mbp-d2c48b7c,0x245f2cf1,2,Download,results/TicToc18_9.tgz,29393,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:17:00.8311802+02:00,patricks-mbp-d2c48b7c,0x69cf39e9,1,Download,results/TicToc18_8.tgz,0,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:17:00.909293047+02:00,patricks-mbp-d2c48b7c,0x69cf39e9,2,Download,results/TicToc18_8.tgz,30193,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:17:02.772558018+02:00,patricks-mbp-d2c48b7c,0x2e693e90,1,Download,results/TicToc18_11.tgz,0,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:17:02.941055371+02:00,patricks-mbp-d2c48b7c,0x2e693e90,2,Download,results/TicToc18_11.tgz,28891,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:17:03.048485097+02:00,patricks-mbp-d2c48b7c,0xf15408e,1,Download,results/TicToc18_10.tgz,0,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:17:03.193372276+02:00,patricks-mbp-d2c48b7c,0xf15408e,2,Download,results/TicToc18_10.tgz,29315,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:17:04.933886222+02:00,patricks-mbp-d2c48b7c,0x6e666060,1,Download,results/TicToc18_13.tgz,0,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:17:05.013994832+02:00,patricks-mbp-d2c48b7c,0x6e666060,2,Download,results/TicToc18_13.tgz,30007,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:17:05.119525873+02:00,patricks-mbp-d2c48b7c,0x707bda00,1,Download,results/TicToc18_12.tgz,0,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:17:05.234235029+02:00,patricks-mbp-d2c48b7c,0x707bda00,2,Download,results/TicToc18_12.tgz,28695,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:17:07.032229069+02:00,patricks-mbp-d2c48b7c,0x8119c829,1,Download,results/TicToc18_14.tgz,0,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:17:07.172542331+02:00,patricks-mbp-d2c48b7c,0x8119c829,2,Download,results/TicToc18_14.tgz,28923,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:17:07.274528416+02:00,patricks-mbp-d2c48b7c,0x85edcf1,1,Download,results/TicToc18_15.tgz,0,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:17:07.357023789+02:00,patricks-mbp-d2c48b7c,0x85edcf1,2,Download,results/TicToc18_15.tgz,28029,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:17:09.152010746+02:00,patricks-mbp-d2c48b7c,0x56912613,1,Download,results/TicToc18_16.tgz,0,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:17:09.232133272+02:00,patricks-mbp-d2c48b7c,0x56912613,2,Download,results/TicToc18_16.tgz,29397,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:17:09.339415409+02:00,patricks-mbp-d2c48b7c,0x86c1ee4a,1,Download,results/TicToc18_17.tgz,0,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:17:09.41219353+02:00,patricks-mbp-d2c48b7c,0x86c1ee4a,2,Download,results/TicToc18_17.tgz,26708,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:17:11.343995315+02:00,patricks-mbp-d2c48b7c,0xae34c7df,1,Download,results/TicToc18_18.tgz,0,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:17:11.438065064+02:00,patricks-mbp-d2c48b7c,0xae34c7df,2,Download,results/TicToc18_18.tgz,27490,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:17:11.555002605+02:00,patricks-mbp-d2c48b7c,0xa80eb919,1,Download,results/TicToc18_19.tgz,0,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:17:11.623928188+02:00,patricks-mbp-d2c48b7c,0xa80eb919,2,Download,results/TicToc18_19.tgz,26254,
s2r,0,tictoc-a3daa2a9,2021-09-17T16:17:13.478884649+02:00,patricks-mbp-d2c48b7c,0x83a01437,1,Download,results/TicToc18_20.tgz,0,
